Country,ISO Code,ID 2021,Latitude,Longitude,BCM 2021,Type
Russian Federation,RUS,9500,68.396078,83.662328,0.0005188,upstream oil
United States,USA,3166,28.993638,-98.001524,0.000518635,upstream oil
United States,USA,1628,32.050477,-103.687546,0.000518028,upstream oil
Kazakhstan,KAZ,7127,46.234049,57.750071,0.00051794,upstream oil
China,CHN,9638,41.843239,82.779448,0.000517793,upstream oil
France,FRA,5223,48.838551,3.920673,0.000517737,upstream oil
United States,USA,563,48.489576,-103.401792,0.000517226,upstream oil
United States,USA,2373,31.732483,-102.040354,0.000516663,upstream oil
United States,USA,2192,32.579007,-102.678127,0.000516416,upstream oil
Oman,OMN,8570,21.521936,56.630314,0.000516164,upstream oil
Russian Federation,RUS,6445,67.175659,56.596316,0.000515371,upstream oil
Tunisia,TUN,5642,31.563084,9.408334,0.000515289,upstream oil
Russian Federation,RUS,6971,53.970199,54.025563,0.00051518,upstream oil
Algeria,DZA,5587,31.278819,8.287203,0.000515037,upstream oil
Russian Federation,RUS,7079,57.133032,56.750115,0.000515034,upstream oil
Russian Federation,RUS,8999,66.988943,75.554129,0.00051491,upstream gas
Ukraine,UKR,6589,49.530402,37.070209,0.000513962,upstream oil
Ecuador,ECU,4456,-0.578775,-76.958269,0.00051395,upstream oil
Russian Federation,RUS,10298,60.429371,96.325079,0.000513886,upstream oil
United States,USA,2574,32.142064,-101.70372,0.000513883,upstream oil
Egypt,EGY,7157,28.973795,30.910425,0.000512154,upstream oil
Indonesia,IDN,11833,4.11365,98.205528,0.000511617,refinery
Russian Federation,RUS,6884,51.554404,52.799602,0.000511409,upstream oil
Russian Federation,RUS,10357,60.829284,97.403986,0.000511182,upstream oil
Tunisia,TUN,5683,33.916684,10.070505,0.0005111,upstream oil
United States,USA,585,47.155788,-103.332705,0.000510918,upstream oil
United States,USA,2148,31.733089,-102.952744,0.000510534,upstream oil
United States,USA,2738,32.203886,-101.350434,0.000510411,upstream oil
United States,USA,1569,31.891569,-103.754006,0.000509997,upstream oil
China,CHN,10082,39.371068,82.946752,0.000509926,upstream oil
United States,USA,1727,31.056036,-103.607575,0.000509668,upstream oil
United States,USA,2856,28.612676,-99.703288,0.000509615,upstream oil
Russian Federation,RUS,10613,55.388274,106.287973,0.000508781,upstream gas
China,CHN,9751,41.421649,84.304254,0.000508007,upstream oil
China,CHN,10781,39.837491,97.553707,0.000507707,refinery
United States,USA,3487,28.92323,-95.329284,0.000507472,refinery
China,CHN,10934,31.537007,107.72964,0.000507185,gpp
United States,USA,2254,31.422384,-102.341287,0.000506809,upstream oil
United States,USA,2678,31.359443,-101.482825,0.000506554,upstream oil
China,CHN,9818,43.823242,87.290255,0.000506465,upstream oil
India,IND,10147,21.68178,72.549793,0.000505966,refinery
